"","suspect","age","hair","eyes","region"
"112",12,46,"h_white","e_brown","Bronx"
"113",13,68,"h_white","e_black","Manhattan"
"114",14,55,"h_blonde","e_blue","Manhattan"
"115",15,7,"h_white","e_green","Bronx"
"116",16,10,"h_black","e_brown","Brooklyn"
"117",17,49,"h_red","e_blue","Manhattan"
"118",18,12,"h_brown","e_blue","Brooklyn"
"119",19,41,"h_white","e_blue","Bronx"
"120",20,10,"h_brown","e_blue","Bronx"
"121",21,12,"h_white","e_green","Manhattan"
"122",22,53,"h_white","e_blue","Manhattan"
"123",23,5,"h_black","e_black","Manhattan"
"124",24,46,"h_brown","e_black","Queens"
"125",25,14,"h_brown","e_black","Queens"
"126",26,55,"h_white","e_green","Brooklyn"
"127",27,53,"h_red","e_brown","Manhattan"
"128",28,31,"h_black","e_brown","Manhattan"
"129",29,31,"h_blonde","e_brown","Queens"
"130",30,55,"h_brown","e_black","Brooklyn"
